,rank_test_score,mean_test_score,mean_train_score,param_learning_rate,param_njobs,param_baseScore
26,1,0.8561592979892849,0.9565851585438598,0.15,6,0.7
24,1,0.8561592979892849,0.9565851585438598,0.15,2,0.7
17,1,0.8561592979892849,0.9565851585438598,0.15,6,0.5
6,1,0.8561592979892849,0.9565851585438598,0.15,2,0.3
7,1,0.8561592979892849,0.9565851585438598,0.15,4,0.3
8,1,0.8561592979892849,0.9565851585438598,0.15,6,0.3
16,1,0.8561592979892849,0.9565851585438598,0.15,4,0.5
15,1,0.8561592979892849,0.9565851585438598,0.15,2,0.5
25,1,0.8561592979892849,0.9565851585438598,0.15,4,0.7
23,10,0.8540826067598225,0.9407715918362156,0.1,6,0.7
22,10,0.8540826067598225,0.9407715918362156,0.1,4,0.7
21,10,0.8540826067598225,0.9407715918362156,0.1,2,0.7
14,10,0.8540826067598225,0.9407715918362156,0.1,6,0.5
13,10,0.8540826067598225,0.9407715918362156,0.1,4,0.5
5,10,0.8540826067598225,0.9407715918362156,0.1,6,0.3
4,10,0.8540826067598225,0.9407715918362156,0.1,4,0.3
3,10,0.8540826067598225,0.9407715918362156,0.1,2,0.3
12,10,0.8540826067598225,0.9407715918362156,0.1,2,0.5
11,19,0.8350873606566432,0.9077819105500124,0.05,6,0.5
10,19,0.8350873606566432,0.9077819105500124,0.05,4,0.5
9,19,0.8350873606566432,0.9077819105500124,0.05,2,0.5
18,19,0.8350873606566432,0.9077819105500124,0.05,2,0.7
19,19,0.8350873606566432,0.9077819105500124,0.05,4,0.7
20,19,0.8350873606566432,0.9077819105500124,0.05,6,0.7
2,19,0.8350873606566432,0.9077819105500124,0.05,6,0.3
1,19,0.8350873606566432,0.9077819105500124,0.05,4,0.3
0,19,0.8350873606566432,0.9077819105500124,0.05,2,0.3
