,rank_test_score,mean_test_score,param_learning_rate,param_num_parallel_tree,param_n_estimators
8,1,0.8827481793222509,0.02,5,1000
17,2,0.8825528794369568,0.05,5,1000
14,3,0.8825261649051822,0.05,5,750
26,4,0.8819403754214039,0.1,5,1000
7,5,0.8818302870482168,0.02,3,1000
11,6,0.8816147375302101,0.05,5,500
23,7,0.88118162895502,0.1,5,750
16,8,0.8811081044997037,0.05,3,1000
13,9,0.8805451382689871,0.05,3,750
25,10,0.8802873091043547,0.1,3,1000
20,11,0.8802549405402036,0.1,5,500
5,12,0.880090770884612,0.02,5,750
10,13,0.8794494238122355,0.05,3,500
4,14,0.8793198790454844,0.02,3,750
22,15,0.8791203617720498,0.1,3,750
19,16,0.8778080489588613,0.1,3,500
6,17,0.8761692477258363,0.02,1,1000
2,18,0.8737997806922913,0.02,5,500
3,19,0.8726180526705154,0.02,1,750
1,20,0.872613399000843,0.02,3,500
15,21,0.8718147085364378,0.05,1,1000
12,22,0.8705362053385208,0.05,1,750
24,23,0.8702951047061575,0.1,1,1000
9,24,0.868256519755956,0.05,1,500
21,25,0.8671391498704446,0.1,1,750
0,26,0.8656877337587634,0.02,1,500
18,27,0.8625584537928677,0.1,1,500
