,rank_test_score,mean_test_score,mean_train_score,param_learning_rate,param_gamma,param_n_estimators,param_reg_lambda,param_max_depth
101,1,0.8787672852053225,0.9741037304662641,0.08,8,500,0.08,3
103,2,0.8787040424168732,0.9679288690935659,0.08,8,500,0.8,3
28,3,0.8781477267720854,0.9788706398207468,0.08,4,500,0.05,3
31,4,0.8781250786333075,0.9749527169899928,0.08,4,500,0.8,3
29,5,0.8775140459932536,0.9787330135248504,0.08,4,500,0.08,3
102,6,0.8773984828610777,0.9700882346690829,0.08,8,500,0.5,3
30,7,0.8768954916216818,0.9757299436630604,0.08,4,500,0.5,3
111,8,0.8768535480369906,0.9911695002945742,0.08,8,500,0.8,6
23,9,0.8763590869562627,0.9999476054430201,0.02,4,500,0.8,10
100,10,0.8763589821846108,0.974012889078479,0.08,8,500,0.05,3
95,11,0.8754986061092105,0.9945257379333745,0.02,8,500,0.8,10
22,12,0.8753123439393502,0.9999803989701017,0.02,4,500,0.5,10
94,13,0.8745665443964026,0.9959226190803602,0.02,8,500,0.5,10
108,14,0.8744331569869271,0.9958707309196984,0.08,8,500,0.05,6
93,15,0.8743602446480937,0.9980791078009323,0.02,8,500,0.08,10
20,16,0.8740296289691802,0.999994054208748,0.02,4,500,0.05,10
21,17,0.8736676996627698,0.9999965949213094,0.02,4,500,0.08,10
110,18,0.8734190372431618,0.9931969452637441,0.08,8,500,0.5,6
39,19,0.8731248166168678,0.999748809964287,0.08,4,500,0.8,6
109,20,0.8730421343214836,0.995711093845907,0.08,8,500,0.08,6
92,21,0.8730384716791486,0.9982791780014315,0.02,8,500,0.05,10
118,22,0.8727302116514841,0.9966882684858798,0.08,8,500,0.5,10
36,23,0.8726460450910298,0.9999043434817076,0.08,4,500,0.05,6
37,24,0.8726123260810221,0.9999197623764962,0.08,4,500,0.08,6
86,25,0.8722990850344015,0.9861492618164831,0.02,8,500,0.5,6
87,26,0.8718036766433203,0.9834102689036043,0.02,8,500,0.8,6
38,27,0.8717691325565529,0.9998026625934242,0.08,4,500,0.5,6
119,28,0.871755272140088,0.9955704640959859,0.08,8,500,0.8,10
13,29,0.8707270649746115,0.9975031954917317,0.02,4,500,0.08,6
15,30,0.8707131914616901,0.9947935211794761,0.02,4,500,0.8,6
14,31,0.8702988457708722,0.9958080687408205,0.02,4,500,0.5,6
85,32,0.8700388985712446,0.9906909208500982,0.02,8,500,0.08,6
84,33,0.8699730146640674,0.9911139844154612,0.02,8,500,0.05,6
12,34,0.8697757121813758,0.9975212511397629,0.02,4,500,0.05,6
47,35,0.8697732762404662,0.999964814186864,0.08,4,500,0.8,10
46,36,0.8686639365269584,0.9999801719648556,0.08,4,500,0.5,10
117,37,0.8679960041488877,0.9983026031966286,0.08,8,500,0.08,10
45,38,0.8679279767883294,0.9999917666943455,0.08,4,500,0.08,10
116,39,0.8672606381162868,0.9983789206141527,0.08,8,500,0.05,10
44,40,0.8663295935616004,0.9999913126838536,0.08,4,500,0.05,10
76,41,0.8502635373749032,0.9250022512808728,0.02,8,500,0.05,3
4,42,0.8502327126817826,0.9253438374248497,0.02,4,500,0.05,3
7,43,0.8501324636727434,0.9212043880323603,0.02,4,500,0.8,3
77,44,0.8500925456733246,0.9249482720526561,0.02,8,500,0.08,3
79,45,0.8500367722305671,0.9201787608688148,0.02,8,500,0.8,3
6,46,0.8499786719840376,0.9223458402572116,0.02,4,500,0.5,3
78,47,0.8499302543843488,0.921886381639229,0.02,8,500,0.5,3
5,48,0.8496650118508089,0.925450870398357,0.02,4,500,0.08,3
114,49,0.8470027947314318,0.9926686778632989,0.08,8,100,0.5,10
115,50,0.8464070762145143,0.9897911288061119,0.08,8,100,0.8,10
107,51,0.8449165859619361,0.9718957464787251,0.08,8,100,0.8,6
106,52,0.8433297712717841,0.9757418090526513,0.08,8,100,0.5,6
104,53,0.8431970124922209,0.9825622602486278,0.08,8,100,0.05,6
105,54,0.8420264817684491,0.9820372756932788,0.08,8,100,0.08,6
113,55,0.8420196803420389,0.9959117664834053,0.08,8,100,0.08,10
35,56,0.8414460380852986,0.9845706717010143,0.08,4,100,0.8,6
43,57,0.840729181711221,0.9994823232673793,0.08,4,100,0.8,10
112,58,0.8405424131450425,0.9963618393075613,0.08,8,100,0.05,10
42,59,0.8394721794506503,0.9997410830549507,0.08,4,100,0.5,10
34,60,0.8384385852760661,0.9863560068443129,0.08,4,100,0.5,6
33,61,0.8377495719685123,0.9887454902570308,0.08,4,100,0.08,6
32,62,0.8370310916338282,0.9894942845230321,0.08,4,100,0.05,6
41,63,0.83630259250992,0.999871279294525,0.08,4,100,0.08,10
40,64,0.8335864791065507,0.9999139737427223,0.08,4,100,0.05,10
18,65,0.8325373787274677,0.9941936991061878,0.02,4,100,0.5,10
19,66,0.8319366355367388,0.9928115252798542,0.02,4,100,0.8,10
90,67,0.8312388999891545,0.9781383121660546,0.02,8,100,0.5,10
91,68,0.829734239370641,0.9724052335605463,0.02,8,100,0.8,10
123,69,0.8296512252983587,0.9477532539936029,0.5,8,100,0.8,3
127,70,0.8290322605711498,0.9920242099697945,0.5,8,500,0.8,3
89,71,0.8281697235804266,0.9870760805812047,0.02,8,100,0.08,10
55,72,0.8278909524073199,0.999537930821688,0.5,4,500,0.8,3
51,73,0.8278807371712482,0.9502437852992066,0.5,4,100,0.8,3
88,74,0.8266519665054108,0.9878332260209688,0.02,8,100,0.05,10
126,75,0.826649980209508,0.9934167430932214,0.5,8,500,0.5,3
16,76,0.8266360892346447,0.9964339003767222,0.02,4,100,0.05,10
50,77,0.8259294175382403,0.9501735184445868,0.5,4,100,0.5,3
122,78,0.8258443342258308,0.9482596022913491,0.5,8,100,0.5,3
24,79,0.8256345027997518,0.8989400889326229,0.08,4,100,0.05,3
26,80,0.825404821511101,0.8972905727742235,0.08,4,100,0.5,3
17,81,0.825329560541068,0.9965402566999768,0.02,4,100,0.08,10
96,82,0.8249707569222762,0.8982545112621582,0.08,8,100,0.05,3
99,83,0.8243443839661724,0.8951483242673549,0.08,8,100,0.8,3
25,84,0.8242969529662068,0.8991368457296272,0.08,4,100,0.08,3
97,85,0.8240619588817015,0.8977089609046154,0.08,8,100,0.08,3
98,86,0.8238716848306661,0.8953179190135734,0.08,8,100,0.5,3
54,87,0.8236541046678233,0.9995656254617047,0.5,4,500,0.5,3
27,88,0.8234704399618358,0.8962099230314267,0.08,4,100,0.8,3
124,89,0.8227308612357268,0.9947950141755172,0.5,8,500,0.05,3
125,90,0.8223951117458643,0.994728754836587,0.5,8,500,0.08,3
120,91,0.821949439331093,0.9478134278457453,0.5,8,100,0.05,3
52,92,0.8211580903124307,0.999713327298137,0.5,4,500,0.05,3
53,93,0.8211530918315323,0.9996602953802738,0.5,4,500,0.08,3
48,94,0.8209566668114262,0.9465413079088856,0.5,4,100,0.05,3
49,95,0.8193681190235304,0.9494109728992581,0.5,4,100,0.08,3
121,96,0.8173065927090559,0.9489248717232643,0.5,8,100,0.08,3
10,97,0.8171717472274235,0.9418364582962813,0.02,4,100,0.5,6
11,98,0.8167147507432633,0.9403515471341732,0.02,4,100,0.8,6
82,99,0.8151756202512357,0.9291017215571463,0.02,8,100,0.5,6
83,100,0.8150383737525779,0.9244373530915905,0.02,8,100,0.8,6
9,101,0.814595538903382,0.9448933851526939,0.02,4,100,0.08,6
8,102,0.8144997601514956,0.9448462553712278,0.02,4,100,0.05,6
81,103,0.8144179465877261,0.9360431927421744,0.02,8,100,0.08,6
80,104,0.8136187920809883,0.9357715765998034,0.02,8,100,0.05,6
135,105,0.812062880662696,0.997517531746116,0.5,8,500,0.8,6
134,106,0.8117522894657745,0.997943367394772,0.5,8,500,0.5,6
143,107,0.8094671935423503,0.9980313057346991,0.5,8,500,0.8,10
142,108,0.8071742746689088,0.9984025116977986,0.5,8,500,0.5,10
